"date","BC","Dust","OC","SO4","SS","PM25"
1994-10-29,2.03148504257576e-07,8.77044280351043e-06,5.2379636250675e-07,1.01643669241597e-05,1.18908725671602e-05,3.15526271615947e-05
1994-10-30,1.99918719223123e-07,7.75042386176854e-06,5.05102979943061e-07,9.84535176870616e-06,1.03749096241362e-05,2.8675706953777e-05
1994-10-31,2.03797380387304e-07,7.04340552791912e-06,5.14552381113669e-07,9.95977982384776e-06,1.07338532690808e-05,2.84553883823487e-05
1994-11-01,2.03914567745642e-07,6.79966345037412e-06,5.19049081964868e-07,1.00449545764816e-05,7.78101136601604e-06,2.53485930425822e-05
1994-11-02,1.9701163488805e-07,6.83042956073828e-06,5.18060104610746e-07,9.66131788290521e-06,7.27193711650721e-06,2.44787562996495e-05
1994-11-03,2.22890282888686e-07,6.66185406437563e-06,5.5629420542958e-07,9.85618287891309e-06,7.55291704639535e-06,2.48501384780023e-05
1994-11-04,2.38056835905591e-07,7.27403998427923e-06,5.80345705913845e-07,9.9346832016758e-06,8.1264791367591e-06,2.61536048645336e-05
1994-11-05,2.10163844927892e-07,7.71178963346706e-06,5.48821535391018e-07,9.18176555602139e-06,9.29411934280555e-06,2.69466599126129e-05
1994-11-06,2.05303146653293e-07,8.39435137510397e-06,5.31776334480903e-07,8.69941843890248e-06,7.37370881955028e-06,2.52045581146909e-05
1994-11-07,2.34063330705838e-07,8.11941545268253e-06,5.7894101543598e-07,8.83359429959093e-06,8.22288917106442e-06,2.59889032694797e-05
1994-11-08,2.51672282947836e-07,6.23331897737625e-06,6.60681183530457e-07,8.78575643386931e-06,8.45067975015173e-06,2.43821086278756e-05
1994-11-09,2.39504090123048e-07,6.09744013824635e-06,6.79413837218401e-07,8.29633179000453e-06,6.08976776622262e-06,2.1402457621815e-05
1994-11-10,2.18462602207112e-07,5.56465716066195e-06,6.41634851921392e-07,8.05233648619719e-06,6.75056230192012e-06,2.12276534029078e-05
1994-11-11,2.14860095238069e-07,5.58351849419371e-06,6.21785556167633e-07,8.4774021181686e-06,6.98734090235433e-06,2.18849071661223e-05
1994-11-12,2.31245512228379e-07,5.54705099459436e-06,5.99336071794768e-07,9.22193591309879e-06,7.68685302654246e-06,2.32864215182588e-05
1994-11-13,2.43579205099889e-07,6.04233829551154e-06,5.60171333528462e-07,9.43641922779018e-06,7.500316063075e-06,2.37828241250051e-05
1994-11-14,2.33833103082048e-07,6.2786461362857e-06,5.52418057648751e-07,9.68117176413019e-06,6.48102566342203e-06,2.32270947245687e-05
1994-11-15,2.15162450302487e-07,6.72514737591079e-06,5.81326411099369e-07,9.61985279266465e-06,4.86294340224329e-06,2.20044324322206e-05
1994-11-16,2.17459402825446e-07,7.23186269246622e-06,6.57695885581776e-07,9.77589671841965e-06,7.00878030036631e-06,2.48916949996594e-05
1994-11-17,2.15287721759628e-07,7.02927192770085e-06,6.94146902622758e-07,9.80451388638745e-06,5.94145864931913e-06,2.36846790877898e-05
1994-11-18,2.03777929906024e-07,6.03547493932993e-06,6.73638395230789e-07,9.24743991081563e-06,6.85757856934986e-06,2.30179097446322e-05
1994-11-19,1.96517173907042e-07,4.84392110434633e-06,5.92866903096127e-07,9.01003369851567e-06,1.18676828079635e-05,2.65110216878287e-05
1994-11-20,1.92497932189706e-07,4.23564232446306e-06,5.5174891139067e-07,9.47323231779016e-06,1.32402611638069e-05,2.76933826496405e-05
1994-11-21,1.84549185845505e-07,3.70169611379665e-06,5.39418072957897e-07,9.72753354098169e-06,1.31994081101745e-05,2.73526050237563e-05
1994-11-22,1.8400414353929e-07,3.44362054305727e-06,5.36771340647614e-07,1.00454991898814e-05,1.83078303367405e-05,3.25177255538661e-05
