"date","BC","Dust","OC","SO4","SS","PM25"
2015-02-19,2.10635800663857e-07,5.66375103903694e-06,7.58523194352754e-07,1.77062293251163e-06,2.2852637611697e-05,3.12561705782621e-05
2015-02-20,2.26477287119539e-07,6.55641683222079e-06,7.7234600334104e-07,1.84162912007077e-06,1.6724061297391e-05,2.61209305401431e-05
2015-02-21,2.37601833463456e-07,6.95242615002738e-06,7.77329202658216e-07,1.84378804501189e-06,1.71191317748648e-05,2.69302770060257e-05
2015-02-22,2.67424111863608e-07,6.41749722968535e-06,8.00208824428968e-07,2.03356983648281e-06,1.71304724720958e-05,2.66491724745565e-05
2015-02-23,2.60791905663443e-07,5.40304067489882e-06,7.57913398679468e-07,1.94812475541628e-06,2.2041755337053e-05,3.0411626071711e-05
2015-02-24,2.2461471484776e-07,5.27049865479069e-06,6.61111976148613e-07,1.38999080567218e-06,3.17768295442459e-05,3.93230456957051e-05
2015-02-25,2.51470562249343e-07,5.67630633121704e-06,6.51684048787605e-07,1.42980264955714e-06,2.90592000091914e-05,3.70684636010025e-05
2015-02-26,2.58025836224883e-07,5.6423193762938e-06,6.96670858561446e-07,1.68335233356871e-06,2.86252802645901e-05,3.69056486692389e-05
2015-02-27,2.35840201737871e-07,5.0803601539959e-06,7.05262991311015e-07,1.63458169741792e-06,2.26530577235738e-05,3.03091027680365e-05
2015-02-28,3.44920113299366e-07,6.98621588147917e-06,8.72367267103876e-07,2.30484869395595e-06,1.44065904561311e-05,2.49149424119695e-05
2015-03-01,3.04995337330913e-07,1.22081559939098e-05,8.16704810660485e-07,2.1991061039049e-06,1.8328600872407e-05,3.3857563118213e-05
2015-03-02,2.63540960596227e-07,8.71896362173767e-06,7.29815065258372e-07,1.75423416156283e-06,1.04456093591694e-05,2.19121631683245e-05
2015-03-03,2.22505049371594e-07,7.26449751511625e-06,6.41973124125228e-07,1.46975516127551e-06,1.9337601766946e-05,2.89363326168346e-05
2015-03-04,2.07826009889343e-07,7.85180219850808e-06,6.51458114791521e-07,1.59616433978757e-06,2.95022211343771e-05,3.98094717973537e-05
2015-03-05,2.09537589957847e-07,7.75587121375155e-06,6.57684092108416e-07,1.58530538266431e-06,4.31915729456216e-05,5.33999712241037e-05
2015-03-06,1.97497438871469e-07,6.33679261536292e-06,6.3831688715412e-07,1.52373188648097e-06,5.77477271243017e-05,6.64440659521712e-05
2015-03-07,1.83569572261693e-07,6.32971316105132e-06,5.91100064840212e-07,1.39940956092798e-06,4.92292489982714e-05,5.77330413573526e-05
2015-03-08,2.01025124343531e-07,8.45367773469569e-06,6.50657436812097e-07,1.64517823209757e-06,3.18325677926028e-05,4.27831063205517e-05
2015-03-09,2.09879064228571e-07,9.95868201339018e-06,7.29690498675746e-07,1.80791418014738e-06,3.19696679822297e-05,4.46758337386716e-05
2015-03-10,2.41879360370375e-07,9.93027535429917e-06,8.42036466861181e-07,1.88463102015989e-06,5.58425781745708e-05,6.87414003762615e-05
2015-03-11,2.82815579378728e-07,1.08390658492439e-05,9.21116809942582e-07,1.97862677286398e-06,6.31248605821085e-05,7.71464855935378e-05
2015-03-12,2.65450446286155e-07,9.48363567915085e-06,9.98993853722717e-07,1.87403358440798e-06,3.96108513067734e-05,5.22329648703411e-05
