date,nwvf_time_integral,EC,days_diff
2021-04-04,16358.985680626114,30.3,7.0
2021-04-11,-730579.6262345748,22.8,7.0
2021-04-18,1161852.416639687,15.7,7.0
2021-04-25,1918548.2992109447,17.7,7.0
2021-05-02,-2772980.0589589337,10.2,7.0
2021-05-09,-1831958.8929678486,18.7,7.0
2021-05-16,-73874.29534102458,11.0,7.0
2021-05-23,491700.6525151668,13.5,7.0
2021-05-30,-327642.3469789941,5.4,7.0
2021-06-06,3392652.2817137567,,
2021-06-13,4954905.456667981,3.4,7.0
2021-06-20,319272.61216332583,,
2021-06-27,3426083.954446018,,
2021-07-04,2412976.4553606305,,
2021-07-11,5826840.83584139,,
2021-07-18,3915731.7557812333,0.9,7.0
2021-07-25,-171571.87710045278,18.9,1.0
2021-08-01,-1458913.8227112705,3.4,7.0
2021-08-08,-3614517.847907468,6.9,7.0
2021-08-15,3136996.4817696186,12.6,7.0
2021-08-22,1551988.571643145,4.8,7.0
2021-08-29,-999128.341382227,4.3,7.0
2021-09-05,3584292.881604836,7.9,7.0
2021-09-12,-1128938.1102429645,1.8,7.0
2021-09-19,-681779.1598050353,2.7,7.0
2021-09-26,6523919.971692198,6.8,7.0
2021-10-03,6655008.228162118,2.5,7.0
2021-10-10,5210878.655779098,7.1,7.0
2021-10-17,2350554.0839345646,2.0,7.0
2021-10-24,-1380431.6436867502,2.1,7.0
2021-10-31,-2247665.4508249736,4.4,7.0
2021-11-07,104236.24453376734,15.1,7.0
2021-11-14,1203371.0673904563,11.0,7.0
2021-11-21,875283.4134584978,24.1,7.0
2021-11-28,668079.1441946075,21.4,7.0
2021-12-05,-1233360.4074827803,5.0,7.0
2021-12-12,642964.9923315139,11.8,7.0
2021-12-19,2257337.814270039,9.2,7.0
2021-12-26,758729.9822541333,41.7,7.0
2022-01-02,-2674195.5108294445,39.5,13.0
2022-01-09,-102524.65410146852,42.6,7.0
2022-01-23,2002258.626491963,44.2,14.0
2022-01-30,329077.83313428744,10.6,7.0
2022-02-06,260632.51942280438,29.5,7.0
2022-02-13,377096.78646556765,17.1,7.0
2022-02-20,-708804.0071311907,37.4,7.0
2022-02-27,-56389.94402725971,34.7,7.0
2022-03-06,1058226.4930464916,25.6,7.0
2022-03-13,3605350.302161547,6.5,7.0
2022-03-20,5501283.172911908,11.0,7.0
2022-03-27,280257.8320798082,29.1,7.0
2022-04-03,-2267191.7773981,56.2,7.0
2022-04-10,-878632.2517858446,18.6,7.0
2022-04-17,1246675.8149401948,13.8,7.0
2022-04-24,1016609.6701303447,14.4,7.0
2022-05-01,-1587786.783579314,17.4,7.0
2022-05-08,-501181.5812834644,18.9,7.0
2022-05-15,246278.61412244034,14.3,7.0
2022-05-22,-17561.43087708995,8.5,7.0
2022-05-29,2214952.547718531,4.1,7.0
2022-06-05,2794037.7223549983,4.4,7.0
2022-06-12,1122304.261849661,3.6,7.0
2022-06-19,1906446.9932389106,4.2,7.0
2022-06-26,1693926.8857312198,5.6,7.0
2022-07-03,5562812.102341214,4.6,7.0
2022-07-10,24721166.180004805,8.1,7.0
2022-07-17,30163503.825204484,7.3,7.0
2022-07-24,30947411.823747575,6.7,7.0
2022-07-31,30756396.22031114,8.5,7.0
2022-08-07,30947411.823747575,12.4,7.0
2022-08-14,30748090.54744617,13.7,7.0
2022-08-21,30947411.823747575,3.9,7.0
2022-08-28,30947411.823747575,2.6,7.0
2022-09-04,30947411.823747575,1.9,7.0
2022-09-11,30947411.823747575,8.6,7.0
2022-09-18,30947411.823747575,0.3,7.0
2022-09-25,30766857.804680083,,
2022-10-02,30947411.823747575,1.9,7.0
2022-10-09,30947411.823747575,5.4,7.0
2022-10-16,30947411.823747575,1.3,7.0
2022-10-23,30947411.823747575,5.5,7.0
