date,nwvf_time_integral,SO4,days_diff
2013-09-22,5750384.406427947,0.043,7.0
2013-09-29,5353940.937285932,0.021,7.0
2013-10-06,1430871.8079002108,0.023,7.0
2013-10-13,3596122.016367844,0.016,7.0
2013-11-03,-716191.0146592988,0.059,21.0
2013-11-10,-351709.5138218666,0.001,7.0
2013-11-17,732768.0610735832,0.082,7.0
2013-11-24,830375.8454300365,0.125,7.0
2013-12-01,15558.960148433303,0.132,7.0
2013-12-08,-810286.4429514013,0.006,7.0
2013-12-29,3155437.2141893115,0.122,21.0
2014-01-05,45913.020547954984,0.256,7.0
2014-01-12,463444.44293808256,0.1,7.0
2014-01-19,-47854.629228196674,0.016,7.0
2014-01-26,1089702.4410444798,0.02,7.0
2014-02-02,2922160.447891469,0.003,7.0
2014-02-09,1464564.936119355,0.045,7.0
2014-02-16,1754709.9021370441,0.1,7.0
2014-02-23,1722478.9398684565,0.079,7.0
2014-03-02,130762.66873673872,0.293,7.0
2014-03-09,661724.0708754692,0.159,7.0
2014-03-16,2581824.242520428,0.322,7.0
2014-03-23,-116344.76655268313,0.287,7.0
2014-03-30,-637791.6145157047,0.285,7.0
2014-04-06,1015156.7320751791,0.234,7.0
2014-04-13,-1028837.3484232727,0.233,7.0
2014-04-20,951205.0827320708,0.335,7.0
2014-04-27,1621991.4093226609,0.304,7.0
2014-05-04,-759336.299831123,0.149,7.0
2014-05-11,-1433833.281441226,0.088,7.0
2014-05-18,588638.3617645593,,
2014-05-25,1022917.5536051819,0.221,7.0
2014-06-01,620632.3073061152,0.23,7.0
2014-06-08,1632083.9220285455,0.023,7.0
2014-06-15,1850567.9583732844,0.042,7.0
2014-06-22,-1121316.5228052028,0.046,7.0
2014-06-29,-2896416.2952240175,0.039,7.0
2014-07-06,60509.513066093066,0.017,7.0
2014-07-13,2519693.4055464873,0.032,7.0
2014-07-20,2762157.6373886107,0.021,7.0
2014-07-27,5858169.366409535,0.016,7.0
2014-08-03,1822105.0134973642,0.012,7.0
2014-08-17,2323223.1689762836,0.013,14.0
2014-08-31,-4876986.867113534,0.009,14.0
2014-09-07,3237177.3259658,0.013,7.0
2014-10-05,2424749.3025179547,,
2014-10-12,6824088.9127847655,0.19,7.0
2014-10-19,-705762.4831662329,0.26,7.0
2014-12-21,928801.8122079186,0.3,63.0
2015-06-14,-1157492.7316220636,0.013,175.0
2015-06-21,-1621911.3885274425,,
